
Época 39600| Train Loss 0.0| Train ACC 1.0| Test loss 22.551230565093338| Test Acc 0.821

*********************************

Época 39700| Train Loss 0.0| Train ACC 1.0| Test loss 22.551230565093338| Test Acc 0.821

*********************************

Época 39800| Train Loss 0.0| Train ACC 1.0| Test loss 22.551230565093338| Test Acc 0.821

*********************************

Época 39900| Train Loss 0.0| Train ACC 1.0| Test loss 22.551230565093338| Test Acc 0.821

*********************************

Época 40000| Train Loss 0.0| Train ACC 1.0| Test loss 22.551230565093338| Test Acc 0.821

*********************************

Época 40100| Train Loss 0.0| Train ACC 1.0| Test loss 22.551230565093338| Test Acc 0.821

*********************************

Época 40200| Train Loss 0.0| Train ACC 1.0| Test loss 22.551230565093338| Test Acc 0.821

*********************************

Época 40300| Train Loss 0.0| Train ACC 1.0| Test loss 22.551230565093338| Test Acc 0.821

*********************************

Época 40400| Train Loss 0.0| Train ACC 1.0| Test loss 22.551230565093338| Test Acc 0.821

*********************************

Época 40500| Train Loss 0.0| Train ACC 1.0| Test loss 22.551230565093338| Test Acc 0.821

*********************************

Época 40600| Train Loss 0.0| Train ACC 1.0| Test loss 22.551230565093338| Test Acc 0.821

*********************************

Época 40700| Train Loss 0.0| Train ACC 1.0| Test loss 22.551230565093338| Test Acc 0.821

*********************************

Época 40800| Train Loss 0.0| Train ACC 1.0| Test loss 22.551230565093338| Test Acc 0.821

*********************************

Época 40900| Train Loss 0.0| Train ACC 1.0| Test loss 22.551230565093338| Test Acc 0.821

*********************************

Época 41000| Train Loss 0.0| Train ACC 1.0| Test loss 22.551230565093338| Test Acc 0.821

*********************************

Época 41100| Train Loss 0.0| Train ACC 1.0| Test loss 22.552649511753604| Test Acc 0.82

*********************************

Época 41200| Train Loss 0.0| Train ACC 1.0| Test loss 22.552649511753604| Test Acc 0.82

*********************************

Época 41300| Train Loss 0.0| Train ACC 1.0| Test loss 22.552649511753604| Test Acc 0.82

*********************************

Época 41400| Train Loss 0.0| Train ACC 1.0| Test loss 22.552649511753604| Test Acc 0.82

*********************************

Época 41500| Train Loss 0.0| Train ACC 1.0| Test loss 22.552649511753604| Test Acc 0.82

*********************************

Época 41600| Train Loss 0.0| Train ACC 1.0| Test loss 22.552671682086803| Test Acc 0.819

*********************************

Época 41700| Train Loss 0.0| Train ACC 1.0| Test loss 22.552671682086803| Test Acc 0.819

*********************************

Época 41800| Train Loss 0.0| Train ACC 1.0| Test loss 22.552671682086803| Test Acc 0.819

*********************************

Época 41900| Train Loss 0.0| Train ACC 1.0| Test loss 22.552671682086803| Test Acc 0.819

*********************************

Época 42000| Train Loss 0.0| Train ACC 1.0| Test loss 22.552671682086803| Test Acc 0.819

*********************************

Época 42100| Train Loss 0.0| Train ACC 1.0| Test loss 22.552671682086803| Test Acc 0.819

*********************************

Época 42200| Train Loss 0.0| Train ACC 1.0| Test loss 22.552671682086803| Test Acc 0.819

*********************************

Época 42300| Train Loss 0.0| Train ACC 1.0| Test loss 22.552671682086803| Test Acc 0.819

*********************************

Época 42400| Train Loss 0.0| Train ACC 1.0| Test loss 22.552671682086803| Test Acc 0.819

*********************************

Época 42500| Train Loss 0.0| Train ACC 1.0| Test loss 22.552671682086803| Test Acc 0.819

*********************************

Época 42600| Train Loss 0.0| Train ACC 1.0| Test loss 22.552671682086803| Test Acc 0.819

*********************************

Época 42700| Train Loss 0.0| Train ACC 1.0| Test loss 22.552671682086803| Test Acc 0.819

*********************************

Época 42800| Train Loss 0.0| Train ACC 1.0| Test loss 22.552671682086803| Test Acc 0.819

*********************************

Época 42900| Train Loss 0.0| Train ACC 1.0| Test loss 22.552671682086803| Test Acc 0.819

*********************************

Época 43000| Train Loss 0.0| Train ACC 1.0| Test loss 22.552671682086803| Test Acc 0.819

*********************************

Época 43100| Train Loss 0.0| Train ACC 1.0| Test loss 22.552671682086803| Test Acc 0.819

*********************************

Época 43200| Train Loss 0.0| Train ACC 1.0| Test loss 22.552671682086803| Test Acc 0.819

*********************************

Época 43300| Train Loss 0.0| Train ACC 1.0| Test loss 22.552671682086803| Test Acc 0.819

*********************************

Época 43400| Train Loss 0.0| Train ACC 1.0| Test loss 22.552671682086803| Test Acc 0.819

*********************************

Época 43500| Train Loss 0.0| Train ACC 1.0| Test loss 22.552671682086803| Test Acc 0.819

*********************************

Época 43600| Train Loss 0.0| Train ACC 1.0| Test loss 22.552671682086803| Test Acc 0.819

*********************************

Época 43700| Train Loss 0.0| Train ACC 1.0| Test loss 22.552671682086803| Test Acc 0.819

*********************************

Época 43800| Train Loss 0.0| Train ACC 1.0| Test loss 22.552671682086803| Test Acc 0.819

*********************************

Época 43900| Train Loss 0.0| Train ACC 1.0| Test loss 22.552671682086803| Test Acc 0.819

*********************************

Época 44000| Train Loss 0.0| Train ACC 1.0| Test loss 22.552671682086803| Test Acc 0.819

*********************************

Época 44100| Train Loss 0.0| Train ACC 1.0| Test loss 22.552671682086803| Test Acc 0.819

*********************************

